,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
1388,New Mexico St.,WAC,32,21,101.3,95.9,0.6525,50.2,44.8,20.2,16.2,36.0,25.1,36.9,28.4,50.7,42.3,32.5,33.5,66.4,-4.1,0,0.0,2016
1389,Seattle,WAC,30,13,94.0,104.9,0.2194,47.5,49.1,23.1,18.9,32.5,31.3,36.0,34.9,44.7,47.7,35.5,33.9,66.7,-11.2,0,0.0,2016
1390,UMKC,WAC,28,9,101.9,110.6,0.2797,48.8,50.3,19.4,17.2,32.7,31.2,35.3,44.1,45.5,48.9,36.8,35.1,67.1,-12.9,0,0.0,2016
1391,UT Rio Grande Valley,WAC,27,5,94.1,115.4,0.0872,47.2,52.1,17.7,14.4,23.0,35.7,29.6,31.1,45.7,51.9,33.1,35.0,68.5,-17.0,0,0.0,2016
1392,Utah Valley,WAC,27,9,99.4,109.8,0.24100000000000002,48.6,49.9,17.4,16.6,22.9,31.0,34.5,37.7,46.3,50.3,34.6,32.6,75.3,-12.2,0,0.0,2016
1423,BYU,WCC,36,25,112.0,98.1,0.8223,52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,50.2,47.0,38.4,33.7,74.4,-1.5,0,0.0,2016
1424,Loyola Marymount,WCC,30,13,103.5,106.6,0.4174,47.5,53.5,16.2,20.2,28.9,31.7,28.4,42.7,45.7,51.6,33.9,37.7,68.4,-9.0,0,0.0,2016
1425,Pacific,WCC,26,6,99.9,103.8,0.3924,49.0,50.1,19.8,16.5,28.5,29.6,38.4,49.3,49.3,47.2,32.2,36.6,67.6,-12.7,0,0.0,2016
1426,Pepperdine,WCC,31,17,105.6,102.7,0.5793,49.0,49.8,16.0,16.1,30.3,29.8,41.1,31.4,48.3,50.2,34.0,32.6,68.4,-5.0,0,0.0,2016
1427,Portland,WCC,31,11,107.6,109.2,0.4588,49.9,52.4,16.8,18.4,30.7,34.2,31.4,41.4,47.0,49.4,36.3,38.5,72.8,-12.3,0,0.0,2016
1428,Saint Mary's,WCC,34,28,117.6,98.6,0.883,58.4,46.2,15.4,15.5,29.8,26.7,29.0,24.1,56.4,44.8,41.0,32.7,62.5,2.0,0,0.0,2016
1429,San Diego,WCC,29,8,92.8,101.0,0.2743,45.2,50.0,20.6,17.4,26.0,28.8,33.9,42.1,46.1,48.1,29.2,36.2,67.0,-13.5,0,0.0,2016
1430,San Francisco,WCC,29,14,105.5,109.6,0.3908,50.0,51.7,17.8,16.0,33.4,30.2,39.1,35.8,48.5,47.8,35.1,38.6,71.1,-8.4,0,0.0,2016
1431,Santa Clara,WCC,30,10,101.1,107.2,0.3383,47.9,50.8,16.9,16.7,24.4,30.0,33.8,36.8,45.2,50.4,34.8,34.4,66.5,-11.9,0,0.0,2016
1458,Saint Joseph's,A10,36,28,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25.0,52.3,49.2,32.7,31.1,70.9,3.4,R32,8.0,2016
1459,VCU,A10,36,25,112.1,94.2,0.8811,51.0,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,R32,10.0,2016
1471,Connecticut,Amer,36,25,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42.0,36.5,32.6,66.9,1.2,R32,9.0,2016
1479,Iowa,B10,33,22,114.4,95.8,0.8853,51.3,48.0,14.8,18.8,31.9,31.3,33.0,25.0,48.7,48.7,37.4,31.3,69.8,2.0,R32,7.0,2016
1496,Butler,BE,33,22,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2.0,R32,9.0,2016
1497,Providence,BE,35,24,108.7,95.4,0.8193,48.0,49.3,16.1,20.6,30.4,30.3,37.3,28.0,48.0,49.8,32.1,32.3,69.3,3.4,R32,9.0,2016
1498,Xavier,BE,34,28,117.0,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26.0,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,R32,2.0,2016
1505,Hawaii,BW,32,26,106.9,95.0,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30.0,71.4,0.8,R32,13.0,2016
