,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
3,Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,2019
6,Virginia,ACC,38,35,123.0,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions,1.0,2019
16,Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,73.6,11.2,E8,1.0,2019
17,Purdue,B10,36,26,122.8,94.3,0.9539,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,51.5,47.2,37.4,34.2,67.0,6.1,E8,3.0,2019
27,Kentucky,SEC,37,30,117.5,89.8,0.9568,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,E8,2.0,2019
29,Gonzaga,WCC,37,33,123.4,89.9,0.9744,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72.0,7.0,E8,1.0,2019
32,Michigan St.,B10,39,32,119.9,91.0,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,F4,2.0,2019
39,Auburn,SEC,39,30,121.3,95.2,0.9420000000000001,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,F4,5.0,2019
84,Davidson,A10,33,24,107.3,99.8,0.6974,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30.0,52.8,47.3,35.6,33.0,66.1,-0.9,0,0.0,2019
85,Dayton,A10,33,21,111.1,98.9,0.7915,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,59.5,47.7,33.2,32.1,66.1,-2.3,0,0.0,2019
86,Duquesne,A10,32,19,103.8,104.4,0.4824,49.9,49.9,19.8,21.6,31.9,35.1,35.0,31.9,51.1,49.5,32.2,33.8,71.0,-6.7,0,0.0,2019
87,Fordham,A10,31,12,96.0,102.6,0.3181,46.8,49.5,16.4,19.1,25.1,28.0,24.5,36.9,44.7,49.6,33.0,32.9,66.3,-14.9,0,0.0,2019
88,George Mason,A10,33,18,102.8,103.9,0.4688,50.1,50.2,18.9,18.2,29.0,27.2,34.2,30.6,50.5,51.6,33.0,32.0,69.2,-6.8,0,0.0,2019
